保险期间,保至 70 周岁保单周年日,保至 75 周岁保单周年日,保至 80 周岁保单周年日
交费期间 投保年龄,20 年,20 年,20 年
18,3288,3225,3209
19,3318,3251,3233
20,3350,3278,3258
21,3384,3306,3284
22,3421,3336,3311
23,3459,3368,3340
24,3500,3401,3371
25,3544,3437,3403
26,3591,3475,3437
27,3642,3515,3472
28,3697,3558,3510
29,3755,3604,3551
30,3819,3653,3593
31,3889,3705,3639
32,3964,3761,3687
33,4047,3822,3738
34,4137,3887,3794
35,4238,3958,3853
36,4349,4035,3916
37,4473,4119,3985
38,4613,4211,4058
39,4771,4312,4138
40,4951,4424,4225
41,,4548,4320
42,,4680,4418
43,,4829,4526
44,,4997,4645
45,,5190,4778
46,,,4927
47,,,5095
48,,,5286
49,,,5505
50,,,5759
51,,,6057
52,,,6443
53,,,6909
54,,,7485
55,,,8213
