0,1,2,3,4,5,6,7,8,9,10,11
保单 年度,期交 保险 费,累计保 险费,意外身故 保险金,私家车 或公务 车意外 身故保 险金,客运轮 船、客运 汽车意外 身故保险 金,客运列 车、航空 意外身故 保险金,重大自然 灾害意外 身故保险 金,电梯意 外身故 保险金,非意外 身故保 险金,满期生 存保险 金,现金价 值(退 保金)
1,3819,3819,1000000,200000,300000,500000,300000,2000000,6110,0,523
2,3819,7638,1000000,200000,300000,500000,300000,2000000,12221,0,1671
3,3819,11457,1000000,200000,300000,500000,300000,2000000,18331,0,2885
4,3819,15276,1000000,200000,300000,500000,300000,2000000,24442,0,4530
5,3819,19095,1000000,200000,300000,500000,300000,2000000,30552,0,6266
6,3819,22914,1000000,200000,300000,500000,300000,2000000,36662,0,8099
7,3819,26733,1000000,200000,300000,500000,300000,2000000,42773,0,10030
8,3819,30552,1000000,200000,300000,500000,300000,2000000,48883,0,12066
9,3819,34371,1000000,200000,300000,500000,300000,2000000,54994,0,14210
10,3819,38190,1000000,200000,300000,500000,300000,2000000,61104,0,16465
15,3819,57285,1000000,200000,300000,500000,300000,2000000,80199,0,29517
20,3819,76380,1000000,200000,300000,500000,300000,2000000,106932,0,46098
30,0,76380,1000000,200000,300000,500000,300000,2000000,106932,0,58393
40,0,76380,1000000,200000,300000,500000,300000,2000000,91656,76380,76380
