保险计划.保险期间.交费期间 投保年龄,未附加提前给付重大疾病保险.30 年.10 年交,未附加提前给付重大疾病保险.30 年.15 年交,未附加提前给付重大疾病保险.至 60 周岁的保单周年日.10 年交,未附加提前给付重大疾病保险.至 60 周岁的保单周年日.15 年交,未附加提前给付重大疾病保险.至 60 周岁的保单周年日.20 年交,附加提前给付重大疾病保险计划一.30 年.10 年交,附加提前给付重大疾病保险计划一.30 年.15 年交,附加提前给付重大疾病保险计划一.至 60 周岁的保单周年日.10 年交,附加提前给付重大疾病保险计划一.至 60 周岁的保单周年日.15 年交,附加提前给付重大疾病保险计划一.至 60 周岁的保单周年日.20 年交,附加提前给付重大疾病保险计划二.30 年.10 年交,附加提前给付重大疾病保险计划二.30 年.15 年交,附加提前给付重大疾病保险计划二.至 60 周岁的保单周年日.10 年交,附加提前给付重大疾病保险计划二.至 60 周岁的保单周年日.15 年交,附加提前给付重大疾病保险计划二.至 60 周岁的保单周年日.20 年交,附加提前给付重大疾病保险计划三.30 年.10 年交,附加提前给付重大疾病保险计划三.30 年.15 年交,附加提前给付重大疾病保险计划三.至 60 周岁的保单周年日.10 年交,附加提前给付重大疾病保险计划三.至 60 周岁的保单周年日.15 年交,附加提前给付重大疾病保险计划三.至 60 周岁的保单周年日.20 年交
0,52,35,99,66,54,52,35,99,66,54,75,50,123,83,67,92,61,131,88,72
1,55,36,103,69,56,55,36,103,69,56,80,54,128,86,70,97,65,136,92,75
2,58,39,107,72,58,58,39,107,72,58,86,57,133,90,73,103,69,141,95,78
3,61,41,111,74,60,61,41,111,74,60,92,62,138,93,76,110,74,147,99,81
4,66,44,115,77,63,66,44,115,77,63,100,67,144,97,79,118,79,153,103,84
5,71,47,120,81,66,71,47,120,81,66,109,73,150,101,83,127,85,160,108,88
6,77,51,125,84,68,77,51,125,84,68,118,79,157,106,86,137,92,167,112,92
7,83,56,130,87,71,83,56,130,87,71,128,86,164,110,90,148,99,174,117,96
8,90,60,136,91,74,90,60,136,91,74,139,93,171,115,94,159,107,181,122,100
9,98,66,142,95,78,98,66,142,95,78,151,101,179,120,98,172,115,190,128,105
10,107,71,148,99,81,107,71,148,99,81,164,110,187,126,103,185,124,198,133,110
11,116,78,154,104,85,116,78,154,104,85,178,119,195,131,108,199,134,207,140,115
12,126,85,161,108,89,126,85,161,108,89,192,129,204,138,113,214,143,217,146,120
13,137,92,169,113,93,137,92,169,113,93,206,139,214,144,118,229,154,227,153,126
14,149,100,176,119,97,149,100,176,119,97,222,149,224,151,124,245,164,237,160,132
15,161,108,185,124,102,161,108,185,124,102,238,160,235,158,130,261,176,249,168,138
16,174,117,193,130,107,174,117,193,130,107,254,171,246,166,137,278,187,261,176,145
17,188,126,203,136,113,,,,,,,182,258,174,144,296,,,,
,,,,,,188,126,203,136,113,271,,,,,,199,273,184,153
