0,1,2,3,4,5,6,7
保单 年度,被保 险人 年龄,期交 保险费,累计 保险费,现金价值 (退保金),当年养老金,累计养老金,身故保险金
1,41,12000,12000,5093,0,0,12000
2,42,12000,24000,11785,0,0,24000
3,43,12000,36000,19753,0,0,36000
4,44,12000,48000,28639,0,0,48000
5,45,12000,60000,38052,0,0,60000
6,46,12000,72000,48019,0,0,72000
7,47,12000,84000,58564,0,0,84000
8,48,12000,96000,69713,0,0,96000
9,49,12000,108000,81497,0,0,108000
10,50,12000,120000,93944,0,0,120000
15,55,0,120000,113994,0,0,120000
20,60,0,120000,138671,0,0,138671
25,65,0,120000,0,168713,168713,168713
