交费期间 投保年龄,主险合同被保险人为一人.趸交,主险合同被保险人为一人.3 年,主险合同被保险人为一人.6 年,主险合同被保险人为一人.10 年,主险合同被保险人为一人.15 年,主险合同被保险人为一人.20 年,主险合同被保险人为两人.趸交,主险合同被保险人为两人.3 年 6,主险合同被保险人为两人.年 10 年,主险合同被保险人为两人.15 年,主险合同被保险人为两人.20 年,主险合同被保险人为两人.20 年
0,11541,3955,2012,1244,870,669,11538,3954 2012,1243,869,668,668
1,11542,3955,2013,1244,870,669,11539 3954,2012,1243,869,668,668
2,11543,3956,2013,1244,870,669,3954,2012,1243,869,668,668
3,11545,3956,2013,1244,871,11539 11540,3955,2012,1243,869,668,668
4,11546,3957,2014,1245,871,669 669 11541,3955,2013,1244,869,668,668
5,11548,3958,2014,1245,871,669,11542,2013,1244,869,668,668
6,11551,3959,2014,1245,871,11543,3955 3956,2013,1244,869,668,668
7,11553,3959,2015,1245,871,669 669,11544 3956,2013,1244,869,668,668
8,11555,3960,2015,1246,871,670,,2013,1244,869,668,668
9,11557,3961,2016,1246,872,11545 11545,3956 3957,2013,1244,869,668,668
10,11560,3962,2016,1246,872,670 670 11546,3957,2013,1244,869,668,668
11,11562,3963,2017,1247,872,670 11546,3957,2013,1244,869,668,668
12,11564,3964,2017,1247,872,670 11547,3957,2013,1244,869,668,668
13,11567,3964,2017,,,670,3957,2014,1244,870,668,668
,,,,1247,872,11547 11547,,,,,,
14,11569,3965,2018,1247,873,670,3957 3957,2014 2014,1244 1244,870,668,668
15,11572,3966,2018,1248,873,671,11547,,1244,870,668,668
16,11575,3967,2019,1248,873,671,11547 3957 3957,2014,,870,668,668
17,11578,3968,2019,1248,873,671 671,11547,2014,1244,870,668,668
18 19,11581,3969,2020,1248,874,671,3958,2014,1244 1244,870 870,668 668,668 668
,11583,3970,2020,1249,874,11548 11548,3958,2014,,,,
20,11585,3971,2021,1249,874 875,672,11548 3958,2014 2015,1244 1245,870 870,668 668,668 668
21,11587,3972,2021,1249,,672,3958 3959,,,,668,668
22,11589,3973,2022,1250,875,672,11549 11550,2015,1245,870,,
23,11592,3974,2022,1250,875,673,11550,3959 2015,1245,870,668 669,668 669
24,11595,3975,2023,1251,876,673,11551 11553,3960 2015,1245,871,,
25,11599,3977,2024,1251,876,674,11554,2016,1245,871,669,669
26,11603,3978,2025,1252,877,674,3960 3961 3962,2016,1246,871,669,669
27,11607,3980,2026,1253,877,674,11556,2017,1246,871,669,669
28 29,11612 11617,3982 3984,2027,1254,878 879,675 675,11557 3963 3964,2017,1246 1246,871 871,669 669,669 669
30,11623,,2028,1254,879,675,11559 11561,2018 2018,1247,872,669,669
31,11629,3987 3989,2029 2031,1255,,676,3965 3966,2019,1247,872,,
32,11636,,2032,1256,880 880,676,11564 11567,2020,1247,872,669 669,669 669
33,11644,3992,,1257,,676,3967,2020,1247,872,669,669
34,11651,3994,,1257,880 881,676,11570 11572 11574,2020,1247,872,669,669
,,3997,2033 2034,1258,,,3968 3969,,,,,
35,11658 11665,3999,2035,1259,881,677 677,3969,2021,1247,872,669,669
36 37,11671,4001,,1259 1260,882 882,,11576 3970 3970,2021 2021,1247 1247,872 872,669 669,669 669
,,4003,2036 2037,,,677,,,,,,
38,11677,4005,2038,1260,883,11577,3970,2021,1247,872,669,669
39,11682,4007,2039,1261,883,678 678,11578 11578 11578,2021,1247,872,669,669
40 41,11687 11691,4009,2040,1262,884,679,3970 3970 3970,2021 2021,1248,872 872,669 669,669 669
42,11697,4011,2041 2043,1263 1263,885 885,679 680,3970 3970,2021,1248 1248,872,669,669
43,11704,4013 4016,2044,,,,11578 11578 11577,2021,1248,872,669,669
44,11710,,,1264 1265,886 887,680 681,,3971 2022,1248 1248,873,670,670
45,11718,4018 4021,,1266,888,682,11577,2022,,873,670,670
,,,2045 2047,,,683,11577 11578,3971 2023,1249,873,670,670
46 47,11725 11733,4025,2049 2051,1268,890 891,,11578,2023,1249,874,670,670
48,11742,4028 4032,2053,1269 1271,893,685 687,11580 11581,3972 3972 3973,1250,874,671,671
49,11752,4036,2055,1273,895,689,,2024 2025,1250,875,671,671
50,11762,4041,2058,1275,898,,3974 3976,2026,1251,875,671,671
51,11774,4047,2061,1277,901,691 694,11584 11587 11590,2027 2028,1252,876,672,672
52,11787,4053,2065,1280,905,698 702,11595,,1253,877,672,672
53,11803,4060,2069,1284,910,,3978 3980 3983,2030,1254,878,673,673
54,11821,4069,2074,1288,915,11600,,2032,1255,879,674,674
55,11842,4079,2080,1294,923,,11607,,1257,881,674,674
56,11867,4091,2087,1301,932,708 715 724,3986 3989 3994,2035 2038,1259,882,,
57,11896,4106,2096,1309,945,737,3999,2041 2045,1261 1263,884,,
58,11932,4123,2108,1321,963,756,11615 11624,,1266,886,,
59,,,2123,,989,791,,,,,,
60,11974 12026,4145 4174,2142,1335,1038,,11636,4005 4012 4020,1269,888 890,,
61,12089,4212,2168,1354,,11648,4030,2050 2056 2062,,,,
,,,,1381,,,11664 11681 11701,4041,,,,
62,12187,4265,2204,,,,,2070,1273 1277,,,
,12312,4336,2254,1424,,11723,4053,2079,,,,
63,12472,4436,2337,1510,,11748,4067,2089,1282,,,
64,12690,,,,,,,,,,,
65,13009,4604,2548,,,,,4085,,,,
66,,5052,,,,11777 11810,4105,2102,,,,
67,,,,,,,,,,,,
,13555,,,,,,,,,,,
,,,,,,,11849,,,,,
